"","REF_AREA","Reference_area","TIME_PERIOD","health_status_F","health_status_B","health_status_G","upper_secondary_education","tertiary_education","below_upper_secondary_education","motor_vehicle_theft","mortality_from_transport_accidents","intentional_homicides","social_support","lack_of_social_support","feeling_lonely","life_satisfaction","satisfaction_w_relationships"
"55","DNK","Denmark",2011,20.4,7.9,71.7,44.315609,33.662952,22.021439,12.9,4.27,1,95.382531024,4.0468583458,5.2336854648,8.0107682102,8.4957074944
"56","DNK","Denmark",2012,21.4,7.6,71,44.194366,34.639698,21.165937,10.3,3.56,0.9,95.382531024,4.0468583458,5.2336854648,8.0107682102,8.4957074944
"57","DNK","Denmark",2013,20.4,7.1,72.5,43.982452,35.204632,20.812916,10.1,3.95,0.8,95.382531024,4.0468583458,5.2336854648,8.0107682102,8.4957074944
"58","DNK","Denmark",2014,20.2,7.4,72.4,43.752758,35.800922,20.446318,9.2,3.92,1.1,95.2793345626,4.2987722321,5.2336854648,7.7611020393,8.2449313597
"59","DNK","Denmark",2015,20.8,7.6,71.6,43.15395,36.565422,20.280628,8.2,3.85,0.9,95.2793345626,4.2987722321,5.2336854648,7.7611020393,8.2449313597
"60","DNK","Denmark",2016,21.1,7.6,71.3,42.507889,37.766045,19.726067,7.9,3.61,0.9,95.2793345626,4.2987722321,5.2336854648,7.7611020393,8.2449313597
"61","DNK","Denmark",2017,21,7.9,71.2,42.058323,38.889214,19.052462,7.9,3.5,1.1,95.5102297619,4.3950458761,5.2336854648,7.7611020393,8.2449313597
"62","DNK","Denmark",2018,21.4,7.5,71.1,41.61134,39.44791,18.940752,7.6,3.66,0.9,95.5102297619,4.3950458761,5.2336854648,7.7611020393,8.2449313597
"63","DNK","Denmark",2019,22.1,8.3,69.6,41.235649,40.353836,18.410515,9.5,4,0.9,95.5102297619,4.3950458761,5.1052066503,7.4624077931,8.1054230453
"64","ESP","Spain",2010,20.1,8.1,71.8,21.856297,31.016668,47.127037,114.1,5.27463284315867,0.9,93.2760440053,5.6853359477,4.5251576063,6.8805823872,7.8062646597
"65","ESP","Spain",2011,17.2,7.4,75.3,22.12476,31.91456,45.960678,102,4.84848411895871,0.8,93.1177734682,6.2906863262,4.5251576063,6.8805823872,7.8062646597
"66","ESP","Spain",2012,17.6,8.1,74.3,22.005894,32.649994,45.344112,92.3,4.39845669083909,0.8,93.1177734682,6.2906863262,4.5251576063,6.8805823872,7.8062646597
"67","ESP","Spain",2013,19.9,8.4,71.6,21.719563,33.734821,44.545616,80.7,4.34397817948409,0.6,93.1177734682,6.2906863262,4.5251576063,6.8805823872,7.8062646597
"68","ESP","Spain",2014,19.1,8.3,72.6,21.93885,34.678776,43.382374,70.8,4.26648320238185,0.7,94.7827313344,5.1265282466,4.5251576063,7.3293713044,8.2491528446
"69","ESP","Spain",2015,20.2,7.5,72.4,22.352846,35.081161,42.565994,77.7,4.28139112549254,0.7,94.7827313344,5.1265282466,4.5251576063,7.3293713044,8.2491528446
